endpoint,state,zipcode
familyTotalExpensesR3,Arkansas,72311
familyTotalExpensesR3,Arkansas,71722
familyTotalExpensesR3,Arkansas,72841
familyTotalExpensesR3,Arkansas,72701
familyTotalExpensesR3,Arkansas,72027
familyTotalExpensesR3,Arkansas,71823
familyTotalExpensesR3,Arkansas,71643
familyTotalExpensesR3,Arkansas,71631
familyTotalExpensesR3,Arkansas,72513
familyTotalExpensesR3,Arkansas,72006
familyTotalExpensesR3,Arkansas,71635
familyTotalExpensesR3,Arkansas,72057
familyTotalExpensesR3,Arkansas,71834
familyTotalExpensesR3,Arkansas,72624
familyTotalExpensesR3,Arkansas,72601
familyTotalExpensesR3,Arizona,85321
familyTotalExpensesR3,Arizona,85530
familyTotalExpensesR3,Arizona,85901
familyTotalExpensesR3,Arizona,85001
familyTotalExpensesR3,Arizona,85117
familyTotalExpensesR3,Arizona,85931
familyTotalExpensesR3,Arizona,85602
familyTotalExpensesR3,Arizona,85920
familyTotalExpensesR3,Arizona,85611
familyTotalExpensesR3,Arizona,85324
familyTotalExpensesR3,Arizona,85533
familyTotalExpensesR3,Arizona,85135
familyTotalExpensesR3,Arizona,85360
familyTotalExpensesR3,Arizona,85333
familyTotalExpensesR3,Arizona,85325
familyTotalExpensesR3,California,93202
familyTotalExpensesR3,California,95422
familyTotalExpensesR3,California,95645
familyTotalExpensesR3,California,95913
familyTotalExpensesR3,California,91901
familyTotalExpensesR3,California,95915
familyTotalExpensesR3,California,95221
familyTotalExpensesR3,California,95605
familyTotalExpensesR3,California,91701
familyTotalExpensesR3,California,90620
familyTotalExpensesR3,California,95023
familyTotalExpensesR3,California,96021
familyTotalExpensesR3,California,94901
familyTotalExpensesR3,California,93203
familyTotalExpensesR3,California,92222
familyTotalExpensesR3,California,95001
familyTotalExpensesR3,California,95912
familyTotalExpensesR3,California,95501
familyTotalExpensesR3,California,94002
familyTotalExpensesR3,California,95601
familyTotalExpensesR3,California,95305
familyTotalExpensesR3,California,96006
familyTotalExpensesR3,California,92328
familyTotalExpensesR3,California,90001
familyTotalExpensesR3,California,95613
familyTotalExpensesR3,California,95527
familyTotalExpensesR3,California,93210
familyTotalExpensesR3,California,95410
familyTotalExpensesR3,California,95692
familyTotalExpensesR3,California,95910
familyTotalExpensesR3,California,93601
familyTotalExpensesR3,California,93201
familyTotalExpensesR3,California,94022
familyTotalExpensesR3,California,95531
familyTotalExpensesR3,California,93013
familyTotalExpensesR3,California,94505
familyTotalExpensesR3,California,96001
familyTotalExpensesR3,California,94510
familyTotalExpensesR3,California,96009
familyTotalExpensesR3,California,91752
familyTotalExpensesR3,California,93426
familyTotalExpensesR3,California,94922
familyTotalExpensesR3,California,94203
familyTotalExpensesR3,California,91319
familyTotalExpensesR3,California,95568
familyTotalExpensesR3,California,95307
familyTotalExpensesR3,California,95712
familyTotalExpensesR3,California,93620
familyTotalExpensesR3,California,95646
familyTotalExpensesR3,California,93512
familyTotalExpensesR3,California,94503
familyTotalExpensesR3,California,95914
familyTotalExpensesR3,California,93623
familyTotalExpensesR3,California,95602
familyTotalExpensesR3,California,94102
familyTotalExpensesR3,California,94501
familyTotalExpensesR3,California,95201
familyTotalExpensesR3,California,93401
familyTotalExpensesR3,Colorado,81321
familyTotalExpensesR3,Colorado,80001
familyTotalExpensesR3,Colorado,80010
familyTotalExpensesR3,Colorado,81610
familyTotalExpensesR3,Colorado,80429
familyTotalExpensesR3,Colorado,81410
familyTotalExpensesR3,Colorado,81021
familyTotalExpensesR3,Colorado,81041
familyTotalExpensesR3,Colorado,80737
familyTotalExpensesR3,Colorado,80805
familyTotalExpensesR3,Colorado,80424
familyTotalExpensesR3,Colorado,80436
familyTotalExpensesR3,Colorado,81325
familyTotalExpensesR3,Colorado,81252
familyTotalExpensesR3,Colorado,81123
familyTotalExpensesR3,Colorado,81122
familyTotalExpensesR3,Colorado,80430
familyTotalExpensesR3,Colorado,81433
familyTotalExpensesR3,Colorado,81601
familyTotalExpensesR3,Colorado,80720
familyTotalExpensesR3,Colorado,80442
familyTotalExpensesR3,Colorado,80019
familyTotalExpensesR3,Colorado,80201
familyTotalExpensesR3,Colorado,80025
familyTotalExpensesR3,Colorado,81401
familyTotalExpensesR3,Colorado,81030
familyTotalExpensesR3,Colorado,81101
familyTotalExpensesR3,Colorado,80106
familyTotalExpensesR3,Colorado,81121
familyTotalExpensesR3,Colorado,81038
familyTotalExpensesR3,Colorado,81501
familyTotalExpensesR3,Colorado,80802
familyTotalExpensesR3,Colorado,80721
familyTotalExpensesR3,Colorado,81427
familyTotalExpensesR3,Colorado,80722
familyTotalExpensesR3,Colorado,80423
familyTotalExpensesR3,Colorado,81641
familyTotalExpensesR3,Colorado,80504
familyTotalExpensesR3,Colorado,81132
familyTotalExpensesR3,Colorado,80020
familyTotalExpensesR3,Colorado,80101
familyTotalExpensesR3,Colorado,80104
familyTotalExpensesR3,Colorado,80804
familyTotalExpensesR3,Colorado,80428
familyTotalExpensesR3,Colorado,81040
familyTotalExpensesR3,Colorado,81320
familyTotalExpensesR3,Colorado,81020
familyTotalExpensesR3,Colorado,81201
familyTotalExpensesR3,Colorado,81611
familyTotalExpensesR3,Colorado,80649
familyTotalExpensesR3,Colorado,81130
familyTotalExpensesR3,Colorado,80511
familyTotalExpensesR3,Colorado,81125
familyTotalExpensesR3,Colorado,80422
familyTotalExpensesR3,Colorado,81033
familyTotalExpensesR3,Colorado,80813
familyTotalExpensesR3,Colorado,81210
familyTotalExpensesR3,Colorado,81029
familyTotalExpensesR3,Colorado,80727
familyTotalExpensesR3,Colorado,81235
familyTotalExpensesR3,Colorado,81001
familyTotalExpensesR3,Colorado,81120
familyTotalExpensesR3,Colorado,80420
familyTotalExpensesR3,Colorado,81212
familyTotalExpensesR3,Connecticut,6249
familyTotalExpensesR3,Connecticut,6409
familyTotalExpensesR3,Connecticut,6404
familyTotalExpensesR3,Connecticut,6018
familyTotalExpensesR3,Connecticut,6001
familyTotalExpensesR3,Connecticut,6226
familyTotalExpensesR3,Connecticut,6401
familyTotalExpensesR3,Connecticut,6029
familyTotalExpensesR3,Dist of Columbia,20001
familyTotalExpensesR3,Delaware,19701
familyTotalExpensesR3,Delaware,19901
familyTotalExpensesR3,Delaware,19930
familyTotalExpensesR3,Florida,32003
familyTotalExpensesR3,Florida,32336
familyTotalExpensesR3,Florida,34601
familyTotalExpensesR3,Florida,32004
familyTotalExpensesR3,Florida,32754
familyTotalExpensesR3,Florida,32621
familyTotalExpensesR3,Florida,32301
familyTotalExpensesR3,Florida,34972
familyTotalExpensesR3,Florida,32420
familyTotalExpensesR3,Florida,32326
familyTotalExpensesR3,Florida,32013
familyTotalExpensesR3,Florida,33455
familyTotalExpensesR3,Florida,33901
familyTotalExpensesR3,Florida,32425
familyTotalExpensesR3,Florida,34223
familyTotalExpensesR3,Florida,32701
familyTotalExpensesR3,Florida,34423
familyTotalExpensesR3,Florida,32099
familyTotalExpensesR3,Florida,32421
familyTotalExpensesR3,Florida,33004
familyTotalExpensesR3,Florida,32401
familyTotalExpensesR3,Florida,32531
familyTotalExpensesR3,Florida,32111
familyTotalExpensesR3,Florida,33401
familyTotalExpensesR3,Florida,33801
familyTotalExpensesR3,Florida,32052
familyTotalExpensesR3,Florida,32601
familyTotalExpensesR3,Florida,32456
familyTotalExpensesR3,Florida,33834
familyTotalExpensesR3,Florida,34945
familyTotalExpensesR3,Florida,33002
familyTotalExpensesR3,Florida,32324
familyTotalExpensesR3,Florida,33701
familyTotalExpensesR3,Florida,32008
familyTotalExpensesR3,Florida,32105
familyTotalExpensesR3,Florida,32042
familyTotalExpensesR3,Florida,32321
familyTotalExpensesR3,Florida,32102
familyTotalExpensesR3,Florida,32948
familyTotalExpensesR3,Florida,32026
